dates,a_temp,m_temp,n_temp,s_prec,a_pres,n_pres,m_pres,a_ws,m_ws,m_gust,a_humi,m_humi,n_humi,a_vis,m_vis,n_vis,a_qff,m_qff,n_qff
2014-01-24,21.6,30.3,14.8,0.0,1012.6,1010.3,1016.4,2.7,13.7,18.0,63,95,23,4633,13321,1225,1014.2,1018.0,1011.9
2014-01-25,22.9,31.3,15.4,0.0,1011.8,1009.0,1013.8,2.7,12.6,20.9,65,96,25,4237,10039,379,1013.4,1015.3,1010.6
2014-01-26,24.2,31.5,18.9,0.0,1012.9,1010.6,1015.6,3.1,11.5,16.2,74,96,30,2477,9277,239,1014.5,1017.1,1012.2
2014-01-27,25.2,31.6,19.8,0.0,1013.0,1010.9,1015.9,3.3,15.8,22.3,66,96,38,6668,16778,598,1014.6,1017.4,1012.5
2014-01-28,25.9,32.6,20.0,0.0,1012.7,1010.0,1015.2,3.5,15.1,19.8,67,96,34,8781,20000,585,1014.3,1016.7,1011.6
2014-01-29,29.4,33.0,21.1,0.0,1013.0,1010.8,1015.4,5.3,15.5,20.9,53,96,31,11356,20000,681,1014.6,1016.9,1012.4
2014-01-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-01-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-01-Min,-,33.9,14.7,0.0,-,1008.0,1021.2,-,25.2,36.4,-,96,23,-,20000,72,-,1022.7,1009.6
2014-02-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-02-02,27.7,-,-,-,1006.6,-,-,5.9,-,-,78,-,-,7462,-,-,1008.2,-,-
2014-02-03,27.7,33.5,21.8,0.0,1006.2,1004.5,1009.5,7.7,14.8,20.9,80,96,48,10527,13480,1502,1007.8,1011.0,1006.1
2014-02-04,27.5,32.6,24.3,0.0,1007.1,1003.9,1008.5,8.9,16.9,24.8,78,96,58,12441,19799,2570,1008.7,1010.0,1005.5
2014-02-05,27.6,31.7,24.9,0.0,1007.4,1004.9,1009.4,8.5,19.4,25.6,76,90,57,15614,20000,7640,1009.0,1010.9,1006.5
2014-02-06,27.6,32.1,24.6,0.0,1007.1,1005.4,1010.1,9.4,20.5,28.4,77,92,53,17566,20000,566,1008.7,1011.6,1007.0
2014-02-07,27.0,32.2,24.6,0.0,1007.2,1005.5,1010.1,7.9,19.1,25.6,77,92,60,16534,20000,4331,1008.8,1011.6,1007.1
2014-02-08,27.7,31.9,22.3,0.4,1007.2,1005.5,1009.8,6.0,19.4,27.0,70,96,52,16034,20000,2234,1008.8,1011.3,1007.1
2014-02-09,26.7,33.7,22.4,0.0,1007.5,1005.3,1009.8,4.4,15.1,20.9,74,96,29,12151,20000,2176,1009.1,1011.3,1006.9
2014-02-10,27.8,33.5,22.0,0.0,1007.7,1004.9,1010.3,7.9,16.2,21.6,72,96,39,16037,20000,859,1009.3,1011.8,1006.5
2014-02-11,27.9,33.3,22.3,0.0,1009.5,1005.6,1010.5,7.6,21.6,27.0,74,96,43,15662,20000,4419,1011.1,1012.0,1007.2
2014-02-12,27.9,32.7,24.5,0.0,1011.4,1007.0,1011.5,7.0,17.6,27.0,75,90,47,15029,20000,6175,1013.0,1013.0,1008.6
2014-02-13,28.5,33.1,23.9,0.0,1011.3,1009.2,1013.6,7.2,18.4,27.4,72,96,48,17030,20000,4644,1012.9,1015.1,1010.8
2014-02-14,27.9,33.2,24.1,0.0,1010.9,1009.4,1014.3,8.0,18.0,26.6,77,96,49,15865,20000,4884,1012.5,1015.8,1011.0
2014-02-15,28.0,32.6,25.3,2.4,1012.0,1008.3,1013.5,9.2,17.3,25.6,76,96,54,14617,20000,1021,1013.6,1015.0,1009.9
2014-02-16,28.1,32.7,25.6,0.0,1012.7,1010.4,1013.7,9.1,19.4,27.4,76,87,56,13401,20000,2421,1014.3,1015.2,1012.0
2014-02-17,28.3,32.5,25.3,0.0,1011.5,1010.9,1015.4,8.3,20.2,26.6,76,88,57,13526,20000,7118,1013.1,1016.9,1012.5
2014-02-18,28.4,32.8,25.6,0.0,1010.5,1009.5,1015.0,6.9,16.9,24.5,77,89,52,13028,20000,4048,1012.1,1016.5,1011.1
2014-02-19,24.7,33.2,24.7,0.0,1014.3,1008.2,1012.6,8.4,14.8,21.6,67,91,58,12839,20000,3096,1015.9,1014.1,1009.8
2014-02-20,24.4,28.3,21.7,0.0,1014.7,1011.9,1016.2,3.7,22.0,29.5,75,81,55,8697,19775,5826,1016.3,1017.8,1013.5
2014-02-21,27.8,27.9,21.4,0.0,1012.9,1012.8,1017.5,5.3,14.4,21.6,73,95,54,11117,16757,1432,1014.5,1019.1,1014.4
2014-02-22,28.5,34.3,21.5,0.0,1013.0,1010.9,1016.1,7.0,17.3,21.6,76,96,46,14393,20000,1606,1014.6,1017.6,1012.5
2014-02-23,28.4,33.9,23.8,0.0,1013.2,1010.4,1015.9,7.4,16.2,23.0,75,96,51,14288,20000,3532,1014.8,1017.4,1012.0
2014-02-24,28.1,33.2,25.0,0.0,1012.5,1011.1,1015.7,7.4,16.2,25.9,76,92,53,13882,20000,6049,1014.1,1017.2,1012.7
2014-02-25,28.1,33.1,24.8,0.0,1011.9,1010.5,1015.7,8.1,18.4,24.1,77,91,52,13156,20000,5423,1013.5,1017.2,1012.1
2014-02-26,28.0,32.7,25.1,0.0,1012.2,1009.1,1014.5,8.2,18.7,24.5,76,89,57,15595,20000,3564,1013.8,1016.0,1010.7
2014-02-27,28.2,32.6,24.9,0.0,1011.9,1010.3,1015.6,8.0,18.0,27.4,74,92,57,17265,20000,5679,1013.5,1017.1,1011.9
2014-02-Min,28.2,34.3,21.4,2.8,1010.1,1003.9,1017.5,7.7,22.0,29.5,78,96,29,14673,20000,566,1011.7,1019.0,1005.5
2014-03-01,28.2,32.7,25.1,0.0,1010.7,1009.1,1013.9,7.4,18.0,25.6,80,93,57,13113,20000,8753,1012.3,1015.4,1010.7
2014-03-02,28.4,32.8,24.7,0.0,1011.6,1008.1,1012.9,7.9,17.6,24.8,78,93,55,13048,20000,6405,1013.2,1014.4,1009.7
2014-03-03,28.6,32.8,24.1,0.0,1011.1,1008.4,1012.9,8.5,17.6,23.8,76,96,60,13489,20000,2454,1012.7,1014.4,1010.0
2014-03-04,29.0,33.5,24.5,0.0,1011.3,1009.5,1014.0,9.9,18.7,24.8,74,96,55,16354,20000,5737,1012.9,1015.5,1011.1
2014-03-05,28.8,33.2,25.8,0.0,1012.2,1009.4,1014.0,9.2,18.4,27.7,74,89,57,16943,20000,3961,1013.8,1015.5,1011.0
2014-03-06,29.0,33.6,26.0,0.0,1012.4,1009.4,1013.8,9.3,20.9,32.4,74,88,54,16113,20000,7536,1014.0,1015.3,1011.0
2014-03-07,29.1,33.1,25.5,0.0,1011.1,1010.2,1014.6,8.2,20.2,25.9,74,87,58,15084,20000,9677,1012.7,1016.1,1011.8
2014-03-08,28.7,33.5,25.8,0.0,1012.6,1010.2,1015.2,10.0,20.2,29.2,75,87,52,16653,20000,7696,1014.2,1016.7,1011.8
2014-03-09,29.2,33.5,26.4,0.0,1012.4,1008.9,1014.3,7.9,20.5,28.4,73,90,47,18123,20000,3952,1014.0,1015.8,1010.5
2014-03-10,29.3,33.0,26.3,0.0,1011.0,1010.2,1014.7,8.9,21.2,32.8,74,84,61,14474,20000,4223,1012.6,1016.2,1011.8
2014-03-11,29.4,34.0,26.5,0.0,1010.5,1010.2,1015.8,7.3,16.2,23.0,74,86,51,12942,20000,8327,1012.1,1017.3,1011.8
2014-03-12,29.9,34.2,26.5,0.0,1011.1,1009.0,1014.0,8.7,17.3,23.4,73,86,53,16150,20000,6206,1012.6,1015.5,1010.6
2014-03-13,29.8,34.5,25.4,0.0,1012.4,1008.2,1013.5,6.0,18.7,24.5,75,96,44,17135,20000,5090,1014.0,1015.0,1009.8
2014-03-14,30.6,34.9,26.5,0.0,1012.1,1008.7,1014.1,5.9,20.2,26.3,72,89,50,15855,20000,5810,1013.6,1015.6,1010.3
2014-03-15,30.3,35.3,26.3,0.0,1012.2,1009.3,1014.5,8.3,15.5,22.0,72,93,54,17202,20000,10122,1013.7,1016.0,1010.9
2014-03-16,30.6,34.8,27.3,0.0,1010.8,1009.9,1014.8,9.3,16.6,21.2,71,90,58,18429,20000,5710,1012.3,1016.3,1011.5
2014-03-17,29.9,35.8,27.1,0.0,1009.7,1009.3,1014.6,10.3,21.2,29.2,77,88,50,16184,20000,3077,1011.2,1016.1,1010.9
2014-03-18,29.9,35.3,27.4,0.0,1008.4,1008.2,1014.2,8.5,18.4,23.8,78,86,49,12685,20000,2145,1009.9,1015.7,1009.8
2014-03-19,30.3,34.2,27.6,0.0,1007.4,1007.0,1012.5,6.8,20.5,29.2,75,88,61,10372,20000,10957,1008.9,1014.0,1008.6
2014-03-20,27.3,34.9,26.8,0.0,1010.0,1005.9,1011.9,4.3,18.7,26.6,83,91,57,10556,20000,2620,1011.6,1013.4,1007.5
2014-03-21,29.5,35.6,26.6,0.0,1011.1,1004.7,1010.0,5.6,15.5,22.0,70,90,54,11250,20000,2996,1012.7,1011.5,1006.3
2014-03-22,30.2,30.6,24.4,4.6,1010.4,1007.4,1011.8,6.7,22.0,34.6,70,94,63,12988,20000,1522,1011.9,1013.3,1009.0
2014-03-23,30.2,35.1,25.4,0.0,1009.2,1008.7,1013.8,7.2,17.3,26.6,72,96,41,17143,20000,3072,1010.7,1015.3,1010.3
2014-03-24,30.7,35.5,26.2,0.0,1008.6,1007.6,1013.4,8.0,16.6,24.1,71,92,43,18336,20000,2346,1010.1,1014.9,1009.2
2014-03-25,30.7,35.7,27.0,0.0,1008.2,1006.5,1012.6,9.1,15.8,21.2,73,88,48,16853,20000,1645,1009.7,1014.1,1008.1
2014-03-26,30.1,35.8,27.6,0.0,1008.3,1005.9,1011.8,9.2,15.5,22.7,75,85,49,15223,20000,1464,1009.8,1013.3,1007.5
2014-03-27,30.5,35.8,27.7,0.0,1007.9,1005.7,1010.9,10.1,18.4,24.5,74,87,50,18583,20000,364,1009.4,1012.4,1007.3
2014-03-28,30.9,34.8,27.0,0.0,1007.7,1005.9,1011.2,9.2,19.8,29.5,70,90,56,19932,20000,2565,1009.2,1012.7,1007.5
2014-03-29,31.0,35.2,28.0,0.0,1007.0,1005.5,1011.2,9.4,19.8,29.5,71,87,54,19872,20000,9509,1008.5,1012.7,1007.0
2014-03-30,30.8,35.9,27.7,0.0,1006.4,1005.3,1011.3,8.8,20.2,28.4,75.0,87,47,17818.0,20000,8617,1007.9,1012.8,1006.9
2014-03-31,31.0,36.3,27.9,0.0,1007.1,1004.2,1010.0,8.7,20.9,28.8,74.0,87,46,18350.0,20000,8371,1008.6,1011.5,1005.7
2014-03-Min,31.0,36.3,24.1,4.6,1008.3,1004.2,1015.8,8.9,22.0,34.6,71.0,96,41,18483.0,20000,364,1009.8,1017.3,1005.8
2014-04-01,29.9,35.9,28.1,0.0,1009.9,1003.7,1009.1,5.9,22.7,29.5,68.0,88.0,54.0,17159.0,20000.0,8596.0,1011.4,1010.6,1005.2
2014-04-02,28.8,36.2,28.3,0.0,1011.2,1004.3,1009.2,6.2,19.1,23.8,72.0,86.0,51.0,12836.0,20000.0,11327.0,1012.8,1010.7,1005.8
2014-04-03,30.2,36.5,27.4,0.0,1010.6,1005.1,1010.4,6.6,17.6,26.3,71.0,85.0,43.0,18740.0,20000.0,8524.0,1012.1,1011.9,1006.7
2014-04-04,31.3,37.1,25.8,0.0,1009.9,1007.0,1012.1,8.9,24.8,35.3,72.0,81.0,42.0,18603.0,20000.0,5222.0,1011.4,1013.6,1008.6
2014-04-05,31.7,36.0,25.0,0.0,1009.3,1008.4,1013.0,8.1,19.8,28.1,62.0,88.0,46.0,11515.0,20000.0,2019.0,1010.8,1014.5,1010.0
2014-04-06,31.7,35.3,25.5,0.0,1008.9,1008.1,1013.5,7.5,15.8,22.7,62.0,87.0,50.0,10083.0,20000.0,6672.0,1010.4,1015.0,1009.7
2014-04-07,31.5,36.5,28.1,0.0,1008.8,1007.0,1013.0,8.0,18.7,25.9,66.0,86.0,52.0,8889.0,20000.0,9802.0,1010.3,1014.5,1008.6
2014-04-08,30.7,37.8,28.4,0.0,1008.4,1006.7,1012.3,6.4,16.9,25.9,73.0,83.0,32.0,7724.0,19736.0,4642.0,1009.9,1013.8,1008.2
2014-04-09,30.1,37.7,28.1,0.0,1008.0,1006.4,1011.7,4.4,17.6,23.8,73.0,83.0,29.0,8813.0,20000.0,5274.0,1009.5,1013.2,1008.0
2014-04-10,30.1,36.6,28.8,0.0,1008.9,1006.1,1011.9,4.3,18.4,25.6,76.0,83.0,47.0,6886.0,14109.0,3828.0,1010.4,1013.4,1007.6
2014-04-11,30.1,36.1,27.8,0.0,1009.5,1005.7,1011.4,5.8,15.5,22.0,72.0,86.0,51.0,13034.0,11994.0,3606.0,1011.0,1012.9,1007.3
2014-04-12,30.7,36.0,26.3,0.4,1009.1,1004.5,1010.7,5.0,14.8,20.9,73.0,89.0,50.0,14403.0,18850.0,2432.0,1010.6,1012.2,1006.1
2014-04-13,31.3,36.0,26.8,0.0,1007.7,1006.5,1011.4,7.4,14.0,19.4,72.0,94.0,51.0,16318.0,15216.0,1908.0,1009.2,1012.9,1008.1
2014-04-14,31.8,35.9,25.1,0.4,1007.6,1006.1,1011.7,7.3,19.8,29.9,68.0,95.0,53.0,16796.0,20000.0,3488.0,1009.1,1013.2,1007.7
2014-04-15,32.0,36.2,26.2,0.0,1008.4,1006.5,1011.9,7.8,16.9,21.2,68.0,95.0,50.0,19056.0,20000.0,5303.0,1009.9,1013.4,1008.1
2014-04-16,31.8,36.6,27.9,0.0,1007.4,1005.2,1010.9,8.5,19.1,30.6,69.0,88.0,48.0,19715.0,20000.0,4177.0,1008.9,1012.4,1006.7
2014-04-17,31.8,37.7,27.9,0.0,1007.4,1005.1,1009.9,8.8,19.4,23.8,67.0,85.0,38.0,19877.0,20000.0,6953.0,1008.9,1011.4,1006.6
2014-04-18,32.1,36.8,28.8,0.0,1008.4,1005.8,1011.2,7.7,17.3,26.6,65.0,83.0,45.0,19919.0,20000.0,8832.0,1009.9,1012.7,1007.3
2014-04-19,32.4,36.9,28.7,0.0,1007.6,1004.7,1009.9,8.2,18.7,27.7,67.0,80.0,41.0,19771.0,20000.0,6594.0,1009.1,1011.4,1006.2
2014-04-20,32.0,36.7,28.5,0.0,1005.9,1004.5,1009.8,7.8,19.8,27.4,74.0,79.0,45.0,17358.0,20000.0,10091.0,1007.4,1011.3,1006.0
2014-04-21,31.8,37.6,27.8,0.0,1006.0,1006.0,1010.5,9.6,17.6,23.0,74.0,87.0,39.0,17276.0,20000.0,5209.0,1007.5,1012.0,1007.6
2014-04-22,32.2,36.8,29.6,0.0,1006.6,1004.8,1010.6,7.9,18.0,25.9,68.0,83.0,43.0,19606.0,20000.0,10270.0,1008.1,1012.1,1006.3
2014-04-23,32.2,36.7,29.1,0.0,1006.6,1003.2,1009.5,8.2,15.5,23.4,66.0,86.0,56.0,19898.0,20000.0,9825.0,1008.1,1011.0,1004.7
2014-04-24,32.3,36.0,27.8,0.0,1008.4,1003.3,1008.3,7.9,20.2,29.5,65.0,87.0,57.0,19949.0,20000.0,7293.0,1009.9,1009.8,1004.8
2014-04-25,31.5,37.6,28.5,0.0,1008.6,1003.8,1009.4,6.0,17.6,25.2,68.0,83.0,45.0,19046.0,20000.0,7497.0,1010.1,1010.9,1005.3
2014-04-26,30.4,37.7,28.3,0.0,1008.4,1003.8,1008.8,5.9,20.2,29.2,76.0,84.0,34.0,17513.0,20000.0,5476.0,1009.9,1010.3,1005.3
2014-04-27,31.1,37.3,28.7,0.0,1007.6,1005.4,1010.9,6.9,17.3,26.3,72.0,84.0,38.0,19196.0,20000.0,14077.0,1009.1,1012.4,1006.9
2014-04-29,31.9,34.2,27.5,0.0,1007.5,1005.4,1011.5,8.6,15.8,20.5,71,90.0,59.0,19175,20000.0,5622.0,1009.0,1013.0,1007.0
2014-04-30,30.8,36.2,27.3,0.0,1008.6,1004.0,1011.3,5.8,16.2,27.4,75,86.0,54.0,14687,20000.0,6741.0,1010.1,1012.8,1005.6
2014-04-Min,30.2,37.8,25.0,0.8,1008.3,1003.2,1013.5,4.6,24.8,35.3,76,95.0,29.0,18488,20000.0,1908.0,1009.8,1015.0,1004.8
2014-05-01,29.8,36.6,27.8,0.2,1008.5,1004.3,1009.8,4.5,18.7,29.5,78,87,48,16066,20000,7335,1010.0,1011.3,1005.8
2014-05-02,28.7,37.0,26.9,4.8,1009.3,1005.9,1010.9,4.9,18.4,22.7,79,96,48,16057,20000,734,1010.9,1012.4,1007.5
2014-05-03,28.8,37.2,26.6,0.4,1009.6,1006.4,1010.9,3.5,18.4,28.1,79,94,45,13310,20000,4831,1011.2,1012.4,1008.0
2014-05-04,32.1,34.9,26.8,7.2,1008.1,1005.7,1011.0,8.0,18.4,26.6,68,96,54,18615,20000,1235,1009.6,1012.5,1007.3
2014-05-05,32.1,35.2,24.6,32.6,1007.3,1005.3,1010.3,8.1,23.8,30.6,69,96,57,19538,20000,649,1008.8,1011.8,1006.9
2014-05-06,30.1,35.8,24.7,14.0,1007.7,1006.2,1011.2,5.6,22.3,31.7,68,96,52,15083,20000,625,1009.2,1012.7,1007.8
2014-05-07,31.5,33.4,25.6,0.0,1007.8,1007.2,1012.5,5.5,13.7,21.6,67,96,58,19682,20000,3226,1009.3,1014.0,1008.8
2014-05-08,32.6,37.1,27.5,0.8,1007.2,1006.0,1010.3,7.6,17.6,24.1,66,90,41,19920,20000,1112,1008.7,1011.8,1007.6
2014-05-09,31.4,36.8,25.6,7.4,1006.3,1004.7,1010.0,5.7,21.6,30.6,67,96,41,19940,20000,585,1007.8,1011.5,1006.3
2014-05-10,32.4,36.5,22.2,32.0,1005.1,1004.1,1011.9,7.3,28.1,44.3,64,96,0,19945,20000,661,1006.6,1013.4,1005.7
2014-05-11,33.1,36.5,27.3,0.0,1004.4,1005.1,1010.5,7.6,16.2,25.6,60,96,50,19849,20000,7475,1005.9,1012.0,1006.7
2014-05-12,32.6,36.8,28.9,0.0,1005.5,1003.6,1009.9,7.1,18.0,24.5,64,86,48,19884,20000,8687,1007.0,1011.4,1005.1
2014-05-13,32.3,37.7,27.1,0.0,1006.4,1003.3,1009.1,6.9,31.3,38.5,67,87,47,19487,20000,9190,1007.9,1010.6,1004.9
2014-05-14,29.9,37.5,28.0,0.0,1007.8,1002.5,1007.8,5.2,18.4,25.2,73,81,42,19871,20000,7677,1009.3,1009.3,1004.0
2014-05-15,30.2,38.6,28.3,0.0,1008.3,1000.9,1007.2,4.6,19.4,28.4,67,77,36,19923,20000,4257,1009.8,1008.7,1002.4
2014-05-16,31.9,38.2,29.0,0.0,1007.2,1002.7,1007.2,7.4,17.6,28.8,63,82,39,19908,20000,6365,1008.7,1008.7,1004.2
2014-05-17,31.9,37.4,28.6,0.0,1005.9,1003.6,1008.3,7.3,18.4,27.7,63,88,43,19049,20000,7740,1007.4,1009.8,1005.1
2014-05-18,31.7,35.5,27.0,0.0,1004.5,1005.2,1009.5,8.0,20.5,28.4,64,85,56,19793,20000,13621,1006.0,1011.0,1006.8
2014-05-19,31.3,34.2,26.5,0.0,1006.2,1005.2,1010.2,6.7,16.6,20.2,69,81,55,19342,20000,6696,1007.7,1011.7,1006.8
2014-05-20,32.7,36.0,27.4,0.0,1007.0,1004.7,1009.6,6.6,19.1,26.3,65,78,47,19780,20000,7441,1008.5,1011.1,1006.3
2014-05-21,31.7,37.5,26.6,0.0,1006.9,1003.2,1008.7,5.1,24.1,34.6,72,87,42,19666,20000,6342,1008.4,1010.2,1004.8
2014-05-22,32.2,36.1,26.6,0.0,1006.8,1001.6,1006.3,4.8,18.7,27.0,70,85,48,19054,20000,12795,1008.3,1007.8,1003.2
2014-05-23,30.2,36.4,27.7,0.0,1006.6,1003.7,1008.0,6.3,20.9,29.2,77,90,49,18451,20000,6044,1008.1,1009.5,1005.2
2014-05-24,30.6,37.9,28.2,0.0,1006.2,1003.9,1009.2,5.6,15.1,21.6,72,91,41,19799,20000,3043,1007.7,1010.7,1005.4
2014-05-25,31.5,38.0,28.1,0.0,1004.8,1003.6,1010.0,6.4,19.1,32.8,72,92,44,18528,20000,3783,1006.3,1011.5,1005.1
2014-05-26,32.4,37.5,28.7,0.4,1003.8,1003.6,1009.3,6.6,16.6,24.1,66,89,48,19890,20000,2477,1005.3,1010.8,1005.1
2014-05-27,31.2,36.3,24.3,19.0,1004.0,1003.0,1008.9,7.0,19.4,27.7,66,96,55,18203,20000,1797,1005.5,1010.4,1004.6
2014-05-28,30.6,35.7,15.1,0.0,1005.1,1003.4,1008.6,5.9,17.3,23.8,75,90,53,18127,20000,7107,1006.6,1010.1,1005.0
2014-05-29,32.4,36.5,26.6,4.8,1003.7,1002.2,1007.5,7.1,17.6,27.4,68,96,49,19625,20000,1689,1005.2,1009.0,1003.8
2014-05-30,31.7,37.4,28.4,0.0,1002.3,1000.7,1005.6,6.7,17.3,23.8,70,83,44,17494,20000,12201,1003.8,1007.1,1002.2
2014-05-31,30.4,37.1,23.4,85.6,1001.9,1000.6,1005.6,6.6,19.4,32.8,76,96,48,17741,20000,278,1003.4,1007.1,1002.2
2014-05-Min,29.0,38.6,15.1,209.2,1002.1,1000.6,1012.5,4.4,31.3,44.3,80,96,0,18593,20000,278,1003.6,1014.0,1002.2
2014-06-01,31.0,35.4,25.9,7.2,1002.5,1002.2,1006.9,8.1,16.6,23.8,69,96,58,19942,20000,828,1004.0,1008.4,1003.8
2014-06-02,29.2,37.3,28.9,0.0,1002.6,1001.7,1006.8,5.8,16.9,24.5,81,89,46,16178,20000,6666,1004.1,1008.3,1003.2
2014-06-03,30.2,37.8,24.7,7.6,1002.6,999.2,1004.5,6.8,18.7,26.6,80,96,45,17174,20000,2912,1004.1,1006.0,1000.8
2014-06-04,30.9,35.7,25.4,3.8,1002.6,999.4,1003.9,6.6,21.6,32.0,72,96,53,19657,20000,1337,1004.1,1005.4,1001.0
2014-06-05,31.1,35.1,13.9,1.0,1002.4,999.7,1004.1,5.5,19.4,27.0,69,96,39,19814,20000,3035,1003.9,1005.6,1001.3
2014-06-06,30.2,34.4,28.2,0.0,1000.9,1000.0,1004.6,6.4,17.3,26.6,71,80,58,15700,20000,8843,1002.4,1006.1,1001.5
2014-06-07,28.9,34.9,12.7,3.2,1000.1,1000.3,1003.9,7.9,32.0,45.7,80,96,56,19031,20000,2096,1001.6,1005.4,1001.9
2014-06-08,30.5,34.9,27.0,5.8,1000.7,1000.2,1004.4,10.6,20.9,29.2,72,96,58,19808,20000,823,1002.2,1005.9,1001.7
2014-06-09,30.2,35.9,27.0,0.0,1003.0,999.9,1004.6,10.2,22.0,29.5,74,91,52,19525,20000,7042,1004.5,1006.1,1001.4
2014-06-10,30.0,34.8,27.9,0.0,1003.1,1000.5,1003.9,8.7,17.6,23.4,78,84,53,18051,20000,5619,1004.6,1005.4,1002.0
2014-06-11,29.2,35.0,25.3,8.4,1002.2,998.9,1003.0,9.8,19.8,32.8,80,96,57,19118,20000,455,1003.7,1004.5,1000.5
2014-06-12,28.9,33.8,14.7,5.0,1003.8,998.2,1002.4,8.0,23.4,33.8,81,96,58,16136,20000,2543,1005.3,1003.9,999.8
2014-06-13,30.3,34.2,28.1,2.2,1004.5,998.5,1002.6,8.9,21.2,30.6,74,81,57,18050,20000,2407,1006.0,1004.1,1000.0
2014-06-14,30.8,34.2,28.2,1.4,1005.7,1001.1,1004.7,7.2,24.8,36.4,72,90,60,15951,20000,2438,1007.2,1006.2,1002.6
2014-06-15,30.3,34.6,26.5,1.0,1006.7,1001.0,1005.4,6.4,19.8,27.4,73,96,58,17078,20000,953,1008.2,1006.9,1002.6
2014-06-16,30.4,33.2,26.2,0.4,1007.8,1000.5,1003.6,6.6,20.5,32.8,76,96,65,16234,20000,236,1009.3,1005.1,1002.1
